model,dataset,frequency,term,horizon_steps,MASE,scaled_MASE,inference_seconds,domain,reference_loss,reference_scaled_MASE,reference_inference_seconds,loss_ratio_to_reference,paired_improvement_percent
seasonal_naive,Supply_Chain_Customer,D,short,30,1.5244040426120686,1.0,1.5101168360561132,Sales,1.5244040426120686,1.0,1.5101168360561132,1.0,0.0
seasonal_naive,Coastal_T_S,5T,long,864,1.4810239029575263,1.0,6.789144224487245,Climate,1.4810239029575263,1.0,6.789144224487245,1.0,0.0
seasonal_naive,Crypto,D,short,30,6.169569272851417,1.0,0.13141694758087397,Finance,6.169569272851417,1.0,0.13141694758087397,1.0,0.0
seasonal_naive,azure2019_I,5T,short,288,0.9861099951301255,1.0,39.59057625103742,Unclassified,0.9861099951301255,1.0,39.59057625103742,1.0,0.0
seasonal_naive,current_velocity,5T,medium,288,0.9106922601897061,1.0,0.8633319521322846,Climate,0.9106922601897061,1.0,0.8633319521322846,1.0,0.0
seasonal_naive,current_velocity,5T,short,36,0.9105016048084428,1.0,3.565892705693841,Climate,0.9105016048084428,1.0,3.565892705693841,1.0,0.0
seasonal_naive,JOLTS,M,short,12,1.68559441428069,1.0,0.12435972783714533,Economics,1.68559441428069,1.0,0.12435972783714533,1.0,0.0
seasonal_naive,MetroPT-3,5T,long,576,0.8686901704875118,1.0,0.25579052697867155,Transport,0.8686901704875118,1.0,0.25579052697867155,1.0,0.0
seasonal_naive,current_velocity,5T,long,864,1.0927077660320532,1.0,0.6923420028761029,Climate,1.0927077660320532,1.0,0.6923420028761029,1.0,0.0
seasonal_naive,Water_Quality_Darwin,15T,medium,96,1.0892248555624096,1.0,3.5120491245761514,Climate,1.0892248555624096,1.0,3.5120491245761514,1.0,0.0
seasonal_naive,azure2019_U,5T,short,48,1.1130542641708217,1.0,5.367972842417657,Cloud operations,1.1130542641708217,1.0,5.367972842417657,1.0,0.0
seasonal_naive,MetroPT-3,5T,short,48,0.8726224746907574,1.0,1.0416007470339537,Transport,0.8726224746907574,1.0,1.0416007470339537,1.0,0.0
seasonal_naive,WUI_Global,Q,short,4,1.2752554228759418,1.0,0.30773282889276743,Economics,1.2752554228759418,1.0,0.30773282889276743,1.0,0.0
seasonal_naive,Water_Quality_Darwin,15T,short,16,1.0871610587899843,1.0,15.32182686496526,Climate,1.0871610587899843,1.0,15.32182686496526,1.0,0.0
seasonal_naive,current_velocity,20T,medium,72,1.0179042941611798,1.0,11.10418189316988,Climate,1.0179042941611798,1.0,11.10418189316988,1.0,0.0
seasonal_naive,Water_Quality_Darwin,15T,long,288,1.591229713377238,1.0,2.003494313918054,Climate,1.591229713377238,1.0,2.003494313918054,1.0,0.0
seasonal_naive,current_velocity,20T,short,9,1.0157419728083052,1.0,65.24346527643502,Climate,1.0157419728083052,1.0,65.24346527643502,1.0,0.0
seasonal_naive,current_velocity,20T,long,216,1.3236660955006534,1.0,5.862513719126582,Climate,1.3236660955006534,1.0,5.862513719126582,1.0,0.0
seasonal_naive,Smart_Manufacturing,H,medium,168,1.0059162251273246,1.0,2.0938354451209307,Industry,1.0059162251273246,1.0,2.0938354451209307,1.0,0.0
seasonal_naive,current_velocity,H,medium,168,1.8436548434542293,1.0,3.0981775810942054,Climate,1.8436548434542293,1.0,3.0981775810942054,1.0,0.0
seasonal_naive,Smart_Manufacturing,H,short,24,0.9987212256449988,1.0,8.254228632897139,Industry,0.9987212256449988,1.0,8.254228632897139,1.0,0.0
seasonal_naive,current_velocity,H,short,24,1.0337543563683367,1.0,12.451473160646856,Climate,1.0337543563683367,1.0,12.451473160646856,1.0,0.0
seasonal_naive,Smart_Manufacturing,H,long,336,1.0022363197581337,1.0,1.5732318125665188,Industry,1.0022363197581337,1.0,1.5732318125665188,1.0,0.0
seasonal_naive,current_velocity,H,long,336,1.97807318941371,1.0,2.3988108662888408,Climate,1.97807318941371,1.0,2.3988108662888408,1.0,0.0
